Wall time,Step,Value
1703102825.0457282,1,0.6282141804695129
1703102846.4704797,2,0.4352293312549591
1703102868.2995799,3,0.3531946539878845
1703102890.0732534,4,0.3184622526168823
1703102911.9205232,5,0.2920912802219391
1703102934.2358298,6,0.2705356478691101
1703102956.2614276,7,0.2650766670703888
1703102978.3004136,8,0.2581232190132141
1703102999.9798138,9,0.24189598858356476
1703103022.140415,10,0.23722437024116516
1703103044.217005,11,0.22997263073921204
1703103066.3328934,12,0.22224269807338715
1703103088.6344323,13,0.21576376259326935
1703103111.2244372,14,0.22087283432483673
1703103133.4139848,15,0.20863990485668182
1703103156.026544,16,0.2034524828195572
1703103178.6951876,17,0.19984044134616852
1703103201.2448785,18,0.19610892236232758
1703103223.678091,19,0.19423353672027588
1703103246.5753367,20,0.18818871676921844
1703103269.547478,21,0.18654471635818481
1703103292.1676476,22,0.17967621982097626
1703103315.0478292,23,0.17609699070453644
1703103337.9804564,24,0.17054833471775055
1703103361.269907,25,0.16693037748336792
1703103384.1639385,26,0.16444413363933563
1703103407.5241227,27,0.1640169471502304
1703103430.1899016,28,0.16088831424713135
1703103452.9584472,29,0.15942998230457306
1703103475.675325,30,0.15582813322544098
1703103498.5976653,31,0.15103071928024292
1703103521.3919368,32,0.15138864517211914
1703103544.2176163,33,0.14832530915737152
1703103567.2103438,34,0.14342139661312103
1703103590.6064353,35,0.14833924174308777
1703103613.675495,36,0.14383816719055176
1703103636.9676287,37,0.14561986923217773
1703103659.7538047,38,0.14493215084075928
1703103683.1883626,39,0.14518380165100098
1703103706.2180312,40,0.14446209371089935
1703103729.0424497,41,0.1447416990995407
1703103752.1296122,42,0.14569224417209625
1703103775.092715,43,0.146013081073761
1703103798.067473,44,0.14910010993480682
1703103820.9523876,45,0.15254120528697968
1703103844.282926,46,0.1548132747411728
1703103867.4453118,47,0.15630120038986206
1703103890.607682,48,0.1540946215391159
1703103913.7258785,49,0.16079212725162506
1703103936.7061684,50,0.15982750058174133
1703103959.4962983,51,0.16229023039340973
1703103982.445538,52,0.1620074063539505
1703104005.4300656,53,0.16255587339401245
1703104028.3491304,54,0.16795161366462708
1703104051.1892505,55,0.17095224559307098
1703104074.3186164,56,0.17607152462005615
1703104096.9520512,57,0.17173705995082855
1703104120.0688055,58,0.17526796460151672
1703104142.9422607,59,0.1759004145860672
1703104166.2767148,60,0.186202272772789
1703104189.1175184,61,0.18094047904014587
1703104212.2166893,62,0.18978440761566162
1703104234.9202116,63,0.19148670136928558
1703104257.5688508,64,0.19243748486042023
1703104281.040129,65,0.19712276756763458
1703104303.7817733,66,0.19803845882415771
1703104326.992129,67,0.20715220272541046
1703104349.674388,68,0.20309142768383026
1703104372.6661954,69,0.20393924415111542
1703104395.6643267,70,0.21114075183868408
1703104418.058266,71,0.2114507108926773
1703104440.746163,72,0.21116459369659424
1703104463.7406366,73,0.21497465670108795
1703104486.5545604,74,0.22742867469787598
1703104511.630192,75,0.22415095567703247
1703104533.9257405,76,0.22887259721755981
1703104556.7797346,77,0.24067692458629608
1703104579.409805,78,0.23696044087409973
1703104601.614085,79,0.23545125126838684
1703104624.27818,80,0.2385568916797638
1703104646.8069186,81,0.24860577285289764
1703104669.0265157,82,0.2528260052204132
1703104691.1693351,83,0.24904288351535797
1703104713.569189,84,0.24986940622329712
1703104735.6769192,85,0.2630390226840973
1703104757.9523003,86,0.26078563928604126
1703104780.2799258,87,0.2594478130340576
1703104802.2928956,88,0.25350216031074524
1703104824.537844,89,0.2612939774990082
1703104847.022541,90,0.2662380039691925
1703104869.88289,91,0.26357585191726685
1703104892.067534,92,0.2669052183628082
1703104914.3575163,93,0.2714749574661255
1703104936.5749347,94,0.2667306661605835
1703104958.8997724,95,0.26081791520118713
1703104980.9972167,96,0.25530925393104553
1703105003.8028467,97,0.2572467029094696
1703105026.3241072,98,0.2848927676677704
1703105048.5672207,99,0.2864321768283844
1703105070.632592,100,0.2777751088142395
1703105092.5900106,101,0.2827712893486023
1703105114.7191172,102,0.28336793184280396
1703105137.0385032,103,0.28621894121170044
1703105159.1368072,104,0.2972137928009033
1703105181.2590265,105,0.29000553488731384
1703105203.4546866,106,0.2818543612957001
1703105225.5740116,107,0.2977757751941681
1703105248.5655828,108,0.2824118435382843
1703105270.6238885,109,0.2813000977039337
1703105293.1680996,110,0.2963120639324188
1703105315.3968978,111,0.3022603392601013
1703105337.8419042,112,0.2879842221736908
1703105360.214533,113,0.3120988607406616
1703105382.0629902,114,0.29826515913009644
1703105404.2265792,115,0.3032355308532715
1703105426.50443,116,0.31713396310806274
1703105448.7733378,117,0.2978496253490448
1703105471.0914946,118,0.2947438061237335
1703105493.6137748,119,0.3062068819999695
1703105515.506206,120,0.31208518147468567
1703105537.4946163,121,0.3165116012096405
1703105559.5480554,122,0.3078344166278839
1703105581.6799061,123,0.30990421772003174
1703105603.8034632,124,0.3000951409339905
1703105625.923141,125,0.30397605895996094
1703105648.0131152,126,0.3144727349281311
1703105670.1482558,127,0.3134249448776245
1703105692.0901253,128,0.3155890703201294
1703105714.4089074,129,0.3125513195991516
1703105736.8865347,130,0.30464622378349304
1703105759.222083,131,0.3250206410884857
1703105781.4005845,132,0.3273467719554901
1703105803.408815,133,0.32642608880996704
1703105825.2998993,134,0.3216804265975952
1703105847.3988361,135,0.3074863851070404
1703105870.4727771,136,0.32068464159965515
1703105892.607018,137,0.33929622173309326
1703105914.7707121,138,0.3329566419124603
1703105936.8111289,139,0.3331829309463501
1703105958.9773808,140,0.3326014578342438
1703105981.1961987,141,0.33493244647979736
1703106002.9250283,142,0.32546907663345337
1703106025.3272758,143,0.3262299597263336
1703106047.2784998,144,0.34083738923072815
1703106069.236486,145,0.32235315442085266
1703106091.3021007,146,0.32782670855522156
1703106113.3214934,147,0.32584312558174133
1703106135.2982223,148,0.34407562017440796
1703106157.202375,149,0.34285423159599304
1703106179.2233644,150,0.3354339897632599
1703106201.1211586,151,0.33850377798080444
1703106223.010341,152,0.3319084048271179
1703106245.0016618,153,0.3409821391105652
1703106266.727662,154,0.32917821407318115
1703106288.8208456,155,0.33645135164260864
1703106310.9233475,156,0.33456045389175415
1703106333.2480423,157,0.34193044900894165
1703106355.3125696,158,0.34280869364738464
1703106377.4521034,159,0.3501940071582794
1703106399.4383256,160,0.3391042649745941
1703106421.511447,161,0.3411614000797272
1703106443.545642,162,0.33819031715393066
1703106465.3599503,163,0.36337360739707947
1703106487.307307,164,0.34884077310562134
1703106509.2418122,165,0.3526880145072937
1703106531.0128484,166,0.3493363559246063
1703106553.1216695,167,0.3555179536342621
1703106575.2313533,168,0.3564802408218384
1703106597.1860642,169,0.3434358537197113
1703106619.265864,170,0.3567470610141754
1703106641.219389,171,0.36065059900283813
1703106663.0280154,172,0.3466015160083771
1703106685.3379047,173,0.33765608072280884
1703106707.4135184,174,0.3545249104499817
1703106729.302749,175,0.3459372818470001
1703106751.5527186,176,0.34888848662376404
1703106773.426035,177,0.3470025360584259
1703106795.6332142,178,0.3586181104183197
1703106817.6679049,179,0.3598935604095459
1703106839.5513284,180,0.36132049560546875
1703106861.594514,181,0.34853360056877136
1703106883.6590443,182,0.3578895032405853
1703106905.7508461,183,0.35933104157447815
1703106927.734711,184,0.35208651423454285
1703106950.2319255,185,0.35008224844932556
1703106972.2658355,186,0.35312774777412415
1703106994.2323503,187,0.3491426408290863
1703107016.4641347,188,0.35091444849967957
1703107038.6663408,189,0.36065423488616943
1703107060.6159887,190,0.3464968502521515
1703107082.8035657,191,0.3637189567089081
1703107104.5272725,192,0.3581516444683075
1703107126.5299118,193,0.36614173650741577
1703107148.4260924,194,0.3519652187824249
1703107170.611662,195,0.36129745841026306
1703107192.5143378,196,0.3653423488140106
1703107214.494647,197,0.365308940410614
1703107236.5781534,198,0.3597382605075836
1703107258.5809543,199,0.35791105031967163
1703107280.6446722,200,0.36318251490592957
